Frequency (Hz)	Level (dB)
5.383301	-61.557270
10.766602	-57.888287
16.149902	-55.165829
21.533203	-57.376648
26.916504	-53.920773
32.299805	-47.566086
37.683105	-46.084610
43.066406	-51.236248
48.449707	-35.144459
53.833008	-33.891945
59.216309	-39.749504
64.599609	-43.991299
69.982910	-45.380806
75.366211	-48.099617
80.749512	-52.995598
86.132812	-51.436737
91.516113	-48.124561
96.899414	-46.856922
102.282715	-46.476810
107.666016	-47.233330
113.049316	-47.245667
118.432617	-47.669067
123.815918	-51.878380
129.199219	-52.637074
134.582520	-46.480312
139.965820	-41.523743
145.349121	-41.046635
150.732422	-43.262897
156.115723	-47.111557
161.499023	-43.055199
166.882324	-38.466782
172.265625	-37.694279
177.648926	-39.670563
183.032227	-43.229675
188.415527	-45.567112
193.798828	-39.875118
199.182129	-36.017246
204.565430	-35.005051
209.948730	-37.638752
215.332031	-44.524494
220.715332	-47.518211
226.098633	-42.001602
231.481934	-41.357002
236.865234	-38.994534
242.248535	-34.819069
247.631836	-34.773815
253.015137	-32.380795
258.398438	-31.366560
263.781738	-31.315016
269.165039	-28.167564
274.548340	-24.278620
279.931641	-25.091986
285.314941	-29.209061
290.698242	-31.868633
296.081543	-38.989697
301.464844	-37.512978
306.848145	-34.798141
312.231445	-31.844519
317.614746	-31.395523
322.998047	-33.937969
328.381348	-38.611755
333.764648	-41.824291
339.147949	-42.357601
344.531250	-40.770267
349.914551	-37.770828
355.297852	-33.947895
360.681152	-33.221924
366.064453	-37.510429
371.447754	-40.942795
376.831055	-38.544567
382.214355	-35.859936
387.597656	-37.846188
392.980957	-41.020615
398.364258	-40.096157
403.747559	-39.733669
409.130859	-44.709755
414.514160	-38.466587
419.897461	-35.626526
425.280762	-34.487446
430.664062	-32.992268
436.047363	-34.893200
441.430664	-42.972893
446.813965	-35.454979
452.197266	-35.442291
457.580566	-38.534725
462.963867	-38.275726
468.347168	-37.591320
473.730469	-31.787752
479.113770	-31.030939
484.497070	-31.472624
489.880371	-33.403049
495.263672	-38.335220
500.646973	-42.146889
506.030273	-39.872074
511.413574	-35.904079
516.796875	-33.035080
522.180176	-34.251228
527.563477	-36.881805
532.946777	-38.676167
538.330078	-39.977161
543.713379	-39.035019
549.096680	-40.117176
554.479980	-43.161388
559.863281	-41.613228
565.246582	-42.345680
570.629883	-48.646923
576.013184	-44.095066
581.396484	-34.474224
586.779785	-31.139565
592.163086	-32.183521
597.546387	-32.789742
602.929688	-35.506886
608.312988	-39.619049
613.696289	-41.604389
619.079590	-43.230080
624.462891	-43.758133
629.846191	-42.724468
635.229492	-45.026077
640.612793	-46.735561
645.996094	-40.945072
651.379395	-38.024609
656.762695	-39.656372
662.145996	-43.829803
667.529297	-51.195015
672.912598	-47.510826
678.295898	-42.912495
683.679199	-44.257442
689.062500	-46.764721
694.445801	-44.994049
699.829102	-44.071827
705.212402	-45.756248
710.595703	-43.855228
715.979004	-44.152565
721.362305	-44.898197
726.745605	-46.204891
732.128906	-49.131916
737.512207	-46.099834
742.895508	-42.847466
748.278809	-40.748154
753.662109	-37.540054
759.045410	-36.446369
764.428711	-37.543537
769.812012	-34.877541
775.195312	-32.247677
780.578613	-30.603859
785.961914	-32.965572
791.345215	-38.151192
796.728516	-37.190605
802.111816	-36.791649
807.495117	-42.390892
