Frequency (Hz)	Level (dB)
5.383301	-43.553650
10.766602	-38.827179
16.149902	-35.863964
21.533203	-34.058071
26.916504	-32.895283
32.299805	-32.031921
37.683105	-31.561529
43.066406	-31.274200
48.449707	-30.438093
53.833008	-30.620926
59.216309	-30.704197
64.599609	-30.538000
69.982910	-30.519812
75.366211	-30.610933
80.749512	-30.771559
86.132812	-31.023779
91.516113	-31.309492
96.899414	-31.612606
102.282715	-32.097610
107.666016	-32.810810
113.049316	-33.299145
118.432617	-33.268047
123.815918	-32.761414
129.199219	-32.007797
134.582520	-30.995577
139.965820	-29.769102
145.349121	-28.065752
150.732422	-26.081280
156.115723	-23.565617
161.499023	-20.545170
166.882324	-18.542336
172.265625	-21.370512
177.648926	-26.162687
183.032227	-29.516832
188.415527	-31.548365
193.798828	-32.839561
199.182129	-33.175983
204.565430	-33.755939
209.948730	-33.847454
215.332031	-31.706970
220.715332	-23.876635
226.098633	-20.852674
231.481934	-25.985546
236.865234	-27.943150
242.248535	-28.637962
247.631836	-28.959471
253.015137	-29.387980
258.398438	-29.383635
263.781738	-29.176254
269.165039	-28.656271
274.548340	-27.610985
279.931641	-26.418789
285.314941	-25.231430
290.698242	-24.652279
296.081543	-25.639990
301.464844	-27.505899
306.848145	-29.283371
312.231445	-30.121252
317.614746	-29.658052
322.998047	-28.200262
328.381348	-26.267475
333.764648	-25.369270
339.147949	-26.785923
344.531250	-29.038582
349.914551	-31.025412
355.297852	-31.831360
360.681152	-31.365932
366.064453	-31.541779
371.447754	-32.011940
376.831055	-32.508499
382.214355	-32.793243
387.597656	-32.425503
392.980957	-30.649582
398.364258	-29.117941
403.747559	-28.263494
409.130859	-27.871889
414.514160	-28.512051
419.897461	-29.779854
425.280762	-31.082500
430.664062	-32.188423
436.047363	-32.205540
441.430664	-30.849882
446.813965	-28.847731
452.197266	-26.131754
457.580566	-23.750631
462.963867	-26.119038
468.347168	-29.841181
473.730469	-32.749847
479.113770	-35.319767
484.497070	-36.752056
489.880371	-36.570679
495.263672	-36.589214
500.646973	-35.871891
506.030273	-36.110168
511.413574	-38.375923
516.796875	-41.041798
522.180176	-37.591152
527.563477	-34.117615
532.946777	-33.220242
538.330078	-33.708477
543.713379	-33.399834
549.096680	-32.510712
554.479980	-31.372322
559.863281	-30.986349
565.246582	-28.605146
570.629883	-25.345219
576.013184	-23.845873
581.396484	-24.419811
586.779785	-25.602381
592.163086	-26.962967
597.546387	-27.880743
602.929688	-28.359880
608.312988	-26.367914
613.696289	-28.015915
619.079590	-29.582012
624.462891	-30.037846
629.846191	-31.655781
635.229492	-32.624943
640.612793	-32.442326
645.996094	-31.413656
651.379395	-31.223276
656.762695	-31.639969
662.145996	-32.650730
667.529297	-33.551105
672.912598	-33.994045
678.295898	-34.584267
683.679199	-35.337975
689.062500	-36.044773
694.445801	-36.376984
699.829102	-36.870453
705.212402	-37.869850
710.595703	-40.240360
715.979004	-42.784531
721.362305	-48.486183
726.745605	-51.070381
732.128906	-45.832478
737.512207	-42.356636
742.895508	-40.134106
748.278809	-38.400494
753.662109	-36.034294
759.045410	-33.906055
764.428711	-33.511757
769.812012	-34.334751
775.195312	-30.853333
780.578613	-27.216860
785.961914	-23.175404
791.345215	-19.759285
796.728516	-19.011698
802.111816	-19.875122
807.495117	-21.215424
812.878418	-21.738560
818.261719	-23.057058
823.645020	-24.536388
829.028320	-25.475149
834.411621	-23.587887
839.794922	-22.612122
845.178223	-22.902811
850.561523	-23.895409
855.944824	-25.190090
861.328125	-25.660530
866.711426	-26.042139
872.094727	-27.625044
877.478027	-28.243828
882.861328	-29.164425
888.244629	-30.904505
893.627930	-30.803770
899.011230	-29.993574
904.394531	-30.209938
909.777832	-30.762529
915.161133	-31.995859
920.544434	-32.585014
925.927734	-32.787380
931.311035	-33.633427
936.694336	-35.015312
942.077637	-37.234337
947.460938	-40.119087
952.844238	-43.328712
958.227539	-43.237724
963.610840	-38.645432
968.994141	-34.791306
974.377441	-31.301199
979.760742	-27.515615
985.144043	-25.202328
990.527344	-25.125731
995.910645	-26.811453
1001.293945	-28.787924
1006.677246	-31.167471
1012.060547	-33.446953
1017.443848	-34.832874
1022.827148	-35.202484
1028.210449	-34.943489
1033.593750	-34.616291
1038.977051	-34.922085
1044.360352	-35.870956
1049.743652	-37.713768
1055.126953	-40.423592
1060.510254	-43.497105
1065.893555	-46.862911
1071.276855	-47.615749
1076.660156	-44.304962
1082.043457	-40.819229
1087.426758	-38.354092
1092.810059	-36.682415
1098.193359	-35.729958
1103.576660	-35.237179
1108.959961	-34.812176
1114.343262	-34.493439
1119.726562	-34.409725
1125.109863	-34.409019
1130.493164	-34.502460
1135.876465	-34.488041
1141.259766	-34.688568
1146.643066	-35.220661
1152.026367	-35.958496
1157.409668	-36.994675
1162.792969	-38.153591
1168.176270	-39.269989
1173.559570	-39.696922
1178.942871	-39.845024
1184.326172	-41.291058
1189.709473	-44.595123
1195.092773	-47.527336
1200.476074	-42.514526
1205.859375	-38.802074
1211.242676	-35.375950
1216.625977	-32.917988
1222.009277	-33.215416
1227.392578	-35.956100
1232.775879	-39.013756
1238.159180	-41.498039
1243.542480	-40.944965
1248.925781	-38.996456
1254.309082	-37.897984
1259.692383	-37.042919
1265.075684	-36.481087
1270.458984	-36.174080
1275.842285	-36.153324
1281.225586	-36.666065
1286.608887	-37.627560
1291.992188	-39.095131
1297.375488	-40.912754
1302.758789	-42.624416
1308.142090	-44.200424
1313.525391	-45.830563
1318.908691	-47.450714
1324.291992	-47.100552
1329.675293	-44.318768
1335.058594	-41.137501
1340.441895	-38.852665
1345.825195	-37.653915
1351.208496	-37.252625
1356.591797	-37.443310
1361.975098	-37.790394
1367.358398	-37.950714
1372.741699	-38.392471
1378.125000	-38.973484
1383.508301	-39.977867
1388.891602	-40.697803
1394.274902	-41.159534
1399.658203	-41.660164
1405.041504	-41.346481
1410.424805	-40.882469
1415.808105	-39.975735
1421.191406	-39.698437
1426.574707	-40.700809
1431.958008	-42.635532
1437.341309	-46.246201
1442.724609	-52.166187
1448.107910	-54.861397
1453.491211	-50.159931
1458.874512	-47.473743
1464.257812	-45.544296
1469.641113	-44.331856
1475.024414	-44.180500
1480.407715	-44.878399
1485.791016	-45.724968
1491.174316	-46.514236
1496.557617	-46.939018
1501.940918	-45.773018
1507.324219	-43.201553
1512.707520	-41.186832
1518.090820	-39.708504
1523.474121	-38.953873
1528.857422	-39.062508
1534.240723	-39.584351
1539.624023	-40.401150
1545.007324	-41.308502
1550.390625	-42.536491
1555.773926	-44.141052
1561.157227	-45.725178
1566.540527	-47.231155
1571.923828	-50.239952
1577.307129	-52.137497
1582.690430	-48.676498
1588.073730	-44.991711
1593.457031	-43.242897
1598.840332	-42.544243
1604.223633	-41.878246
1609.606934	-41.362103
1614.990234	-41.210312
1620.373535	-42.034451
1625.756836	-43.643059
1631.140137	-45.912876
1636.523438	-48.496521
1641.906738	-51.623466
1647.290039	-56.000679
1652.673340	-61.082836
1658.056641	-56.032856
1663.439941	-53.869537
1668.823242	-52.100067
1674.206543	-50.401348
1679.589844	-49.998249
1684.973145	-49.681896
1690.356445	-49.524281
1695.739746	-50.106762
1701.123047	-50.947651
1706.506348	-51.493401
1711.889648	-51.845478
1717.272949	-51.702641
1722.656250	-51.783188
1728.039551	-52.179222
1733.422852	-51.814713
1738.806152	-50.228268
1744.189453	-48.325977
1749.572754	-46.820187
1754.956055	-44.906998
1760.339355	-43.753723
1765.722656	-43.413494
1771.105957	-43.393768
