Frequency (Hz)	Level (dB)
5.383301	-28.255051
10.766602	-25.047623
16.149902	-23.768440
21.533203	-23.363235
26.916504	-22.342171
32.299805	-22.624674
37.683105	-22.732063
43.066406	-22.830526
48.449707	-23.609524
53.833008	-23.511930
59.216309	-25.327126
64.599609	-27.192230
69.982910	-27.978195
75.366211	-31.360659
80.749512	-32.965370
86.132812	-35.580696
91.516113	-39.457951
96.899414	-39.212673
102.282715	-38.237286
107.666016	-36.208138
113.049316	-38.458145
118.432617	-36.191868
123.815918	-36.430023
129.199219	-39.373276
134.582520	-37.689583
139.965820	-41.125370
145.349121	-39.272110
150.732422	-38.425560
156.115723	-43.217464
161.499023	-43.683735
166.882324	-39.401661
172.265625	-39.426762
177.648926	-41.087463
183.032227	-37.871849
188.415527	-38.020023
193.798828	-35.694248
199.182129	-34.410091
204.565430	-38.874073
209.948730	-38.725697
215.332031	-34.710979
220.715332	-33.423637
226.098633	-36.069588
231.481934	-39.580311
236.865234	-39.968418
242.248535	-39.972446
247.631836	-37.158497
253.015137	-35.754551
258.398438	-35.944405
263.781738	-31.562790
269.165039	-31.660385
274.548340	-35.161194
279.931641	-33.382359
285.314941	-32.887215
290.698242	-30.817072
296.081543	-29.070444
301.464844	-29.923952
306.848145	-29.961412
312.231445	-32.276138
317.614746	-29.843023
322.998047	-28.611368
328.381348	-27.334820
333.764648	-20.718180
339.147949	-19.376856
344.531250	-21.735067
349.914551	-25.843012
355.297852	-30.557838
360.681152	-33.828178
366.064453	-35.983364
371.447754	-36.641369
376.831055	-37.586140
382.214355	-35.261906
387.597656	-34.627174
392.980957	-31.320061
398.364258	-30.559237
403.747559	-32.109653
409.130859	-37.186714
414.514160	-36.416092
419.897461	-36.247948
425.280762	-38.237827
430.664062	-36.768620
436.047363	-38.116543
441.430664	-36.355179
446.813965	-34.657909
452.197266	-34.471050
457.580566	-31.390162
462.963867	-32.804729
468.347168	-33.562191
473.730469	-36.689411
479.113770	-35.551838
484.497070	-38.429241
489.880371	-35.318325
495.263672	-31.447638
500.646973	-32.799763
506.030273	-29.751717
511.413574	-29.115139
516.796875	-30.332270
522.180176	-33.599468
527.563477	-24.594240
532.946777	-23.424809
538.330078	-28.997643
543.713379	-31.017921
549.096680	-27.562178
554.479980	-25.942764
559.863281	-21.074476
565.246582	-20.909811
570.629883	-23.426710
576.013184	-16.878368
581.396484	-16.146351
586.779785	-19.632214
592.163086	-23.352150
597.546387	-25.473877
602.929688	-23.956524
608.312988	-24.295496
613.696289	-25.978245
619.079590	-25.754349
624.462891	-23.380281
629.846191	-21.342447
635.229492	-20.608616
640.612793	-19.153009
645.996094	-18.863476
651.379395	-24.991035
656.762695	-30.491030
662.145996	-31.017748
667.529297	-33.201244
672.912598	-30.424753
678.295898	-34.072529
683.679199	-34.481045
689.062500	-35.918373
694.445801	-36.291100
699.829102	-32.815941
705.212402	-28.287251
710.595703	-26.673685
715.979004	-28.780390
721.362305	-33.518417
726.745605	-28.839975
732.128906	-34.231407
737.512207	-34.553303
742.895508	-33.596165
748.278809	-35.448399
753.662109	-37.574467
759.045410	-40.718163
764.428711	-40.677635
769.812012	-37.901600
775.195312	-39.587227
780.578613	-42.012474
785.961914	-36.067333
791.345215	-38.100933
796.728516	-44.303020
802.111816	-39.033470
807.495117	-40.518280
812.878418	-41.499992
818.261719	-37.907497
823.645020	-41.345684
829.028320	-39.729630
834.411621	-38.158905
839.794922	-39.676655
845.178223	-32.006145
850.561523	-32.925468
855.944824	-34.020897
861.328125	-36.186485
866.711426	-36.974579
872.094727	-36.050400
877.478027	-31.434244
882.861328	-32.604763
888.244629	-28.641405
893.627930	-33.844444
899.011230	-34.781265
904.394531	-40.212204
909.777832	-40.886311
915.161133	-40.834293
920.544434	-45.834797
925.927734	-42.904499
931.311035	-48.364952
936.694336	-45.383862
942.077637	-42.690838
947.460938	-37.052921
952.844238	-40.952263
958.227539	-47.139359
963.610840	-46.288078
968.994141	-46.930565
974.377441	-46.472134
979.760742	-44.504799
985.144043	-41.955147
990.527344	-42.990440
995.910645	-45.615078
1001.293945	-42.818439
1006.677246	-44.901241
1012.060547	-45.422104
1017.443848	-42.262444
1022.827148	-44.871639
1028.210449	-43.465302
1033.593750	-45.920650
1038.977051	-43.362724
1044.360352	-37.993172
1049.743652	-39.338078
1055.126953	-37.305954
1060.510254	-37.929401
1065.893555	-42.918037
1071.276855	-45.099106
1076.660156	-40.279518
1082.043457	-42.800323
1087.426758	-48.396946
1092.810059	-40.456211
1098.193359	-41.079182
1103.576660	-44.911858
1108.959961	-40.441658
1114.343262	-39.737873
1119.726562	-41.171284
1125.109863	-35.901543
1130.493164	-38.074009
1135.876465	-44.115288
1141.259766	-42.814674
1146.643066	-41.971920
1152.026367	-45.373585
1157.409668	-42.410904
1162.792969	-38.193626
1168.176270	-45.395348
1173.559570	-41.253712
1178.942871	-42.139599
1184.326172	-46.305603
1189.709473	-42.866070
1195.092773	-44.801815
1200.476074	-47.531780
1205.859375	-43.999191
1211.242676	-50.703964
1216.625977	-48.293232
1222.009277	-47.479530
1227.392578	-53.601742
1232.775879	-54.479347
1238.159180	-58.739666
1243.542480	-52.373821
1248.925781	-50.750584
1254.309082	-55.449272
1259.692383	-46.326244
1265.075684	-42.098400
1270.458984	-43.322945
1275.842285	-41.187332
1281.225586	-40.194912
1286.608887	-44.793976
1291.992188	-43.330391
1297.375488	-43.576077
1302.758789	-41.787380
1308.142090	-42.943928
1313.525391	-42.934052
1318.908691	-41.464706
1324.291992	-41.954174
1329.675293	-42.307026
1335.058594	-41.397751
1340.441895	-43.743195
1345.825195	-41.125767
1351.208496	-44.153599
1356.591797	-43.017227
1361.975098	-40.831635
1367.358398	-43.982410
1372.741699	-40.260536
1378.125000	-39.686474
1383.508301	-39.925922
1388.891602	-38.284214
1394.274902	-37.669266
1399.658203	-34.788654
1405.041504	-35.875385
1410.424805	-37.024014
1415.808105	-31.776640
1421.191406	-36.469131
1426.574707	-36.652515
1431.958008	-35.956772
1437.341309	-41.810993
1442.724609	-43.426662
1448.107910	-42.352715
1453.491211	-46.931351
1458.874512	-43.872379
1464.257812	-45.220158
1469.641113	-49.369236
1475.024414	-47.734741
1480.407715	-43.391376
1485.791016	-43.449699
1491.174316	-47.936726
1496.557617	-40.232655
1501.940918	-42.603302
1507.324219	-47.867973
1512.707520	-44.766647
1518.090820	-46.277653
1523.474121	-41.390804
1528.857422	-42.104824
1534.240723	-42.270905
1539.624023	-43.099777
1545.007324	-41.944981
1550.390625	-38.264881
1555.773926	-39.119389
1561.157227	-42.987514
1566.540527	-43.611088
1571.923828	-42.227634
1577.307129	-40.305973
