Frequency (Hz)	Level (dB)
5.383301	-55.231125
10.766602	-52.671478
16.149902	-55.173092
21.533203	-37.044128
26.916504	-32.856670
32.299805	-41.967201
37.683105	-42.502640
43.066406	-42.764977
48.449707	-36.501156
53.833008	-31.969269
59.216309	-32.719685
64.599609	-37.474869
69.982910	-42.274250
75.366211	-43.760445
80.749512	-41.908108
86.132812	-40.298805
91.516113	-38.375900
96.899414	-37.817123
102.282715	-38.591129
107.666016	-41.021046
113.049316	-42.617325
118.432617	-44.081238
123.815918	-46.601185
129.199219	-44.930771
134.582520	-40.126133
139.965820	-36.879784
145.349121	-40.276829
150.732422	-38.792484
156.115723	-38.311279
161.499023	-39.087383
166.882324	-40.587383
172.265625	-40.954590
177.648926	-44.432098
183.032227	-41.877487
188.415527	-37.098461
193.798828	-35.132526
199.182129	-34.421196
204.565430	-34.280968
209.948730	-35.343922
215.332031	-36.724567
220.715332	-37.942410
226.098633	-38.421173
231.481934	-38.600357
236.865234	-37.325562
242.248535	-34.765770
247.631836	-33.427414
253.015137	-32.208839
258.398438	-31.701933
263.781738	-32.178150
269.165039	-33.661404
274.548340	-35.313057
279.931641	-36.463367
285.314941	-36.281563
290.698242	-35.765984
296.081543	-35.623894
301.464844	-35.620770
306.848145	-36.909714
312.231445	-36.528580
317.614746	-35.960609
322.998047	-36.218880
328.381348	-37.490955
333.764648	-38.017345
339.147949	-37.270741
344.531250	-37.234344
349.914551	-38.665901
355.297852	-36.871338
360.681152	-32.001362
366.064453	-30.416342
371.447754	-34.042637
376.831055	-40.780956
382.214355	-47.415596
387.597656	-47.155396
392.980957	-41.347095
398.364258	-36.741585
403.747559	-35.084663
409.130859	-34.114288
414.514160	-32.961807
419.897461	-33.934563
425.280762	-36.370018
430.664062	-37.952255
436.047363	-36.493500
441.430664	-36.628281
446.813965	-38.671413
452.197266	-39.770172
457.580566	-37.785942
462.963867	-37.993732
468.347168	-37.446617
473.730469	-35.575165
479.113770	-34.698002
484.497070	-34.428493
489.880371	-34.258476
495.263672	-36.163906
500.646973	-38.881966
506.030273	-34.045521
511.413574	-29.214661
516.796875	-26.745823
522.180176	-25.167158
527.563477	-24.924343
532.946777	-26.649807
538.330078	-32.813248
543.713379	-37.119308
549.096680	-38.048969
554.479980	-37.592926
559.863281	-34.776783
565.246582	-31.878260
570.629883	-30.657328
576.013184	-29.453276
581.396484	-30.162554
586.779785	-32.470352
592.163086	-37.638474
597.546387	-43.192883
602.929688	-42.338352
608.312988	-40.107983
613.696289	-36.555561
619.079590	-33.676994
624.462891	-33.654652
629.846191	-32.817112
635.229492	-32.870174
640.612793	-34.722767
645.996094	-37.064121
651.379395	-35.857906
656.762695	-32.901428
662.145996	-31.925430
667.529297	-32.383347
672.912598	-33.055687
678.295898	-34.073936
683.679199	-34.108463
689.062500	-33.110729
694.445801	-31.292431
699.829102	-30.955452
705.212402	-32.021652
710.595703	-32.097954
715.979004	-30.985607
721.362305	-31.488087
726.745605	-32.332382
732.128906	-32.218002
737.512207	-31.770536
742.895508	-31.338707
748.278809	-33.948666
753.662109	-38.476814
759.045410	-42.047421
764.428711	-41.781353
769.812012	-40.219318
775.195312	-40.590443
780.578613	-39.662758
785.961914	-33.779598
791.345215	-31.382303
796.728516	-32.423443
802.111816	-33.883163
807.495117	-35.798904
812.878418	-35.426872
818.261719	-31.739128
823.645020	-30.342752
829.028320	-30.275452
834.411621	-33.233856
839.794922	-38.851791
845.178223	-42.221584
850.561523	-42.543755
855.944824	-43.283028
861.328125	-45.870514
866.711426	-47.313206
872.094727	-43.677574
877.478027	-40.831821
882.861328	-38.826778
