Frequency (Hz)	Level (dB)
5.383301	-43.975113
10.766602	-39.547298
16.149902	-39.015533
21.533203	-39.353008
26.916504	-39.101257
32.299805	-38.595463
37.683105	-37.110123
43.066406	-36.830017
48.449707	-37.573223
53.833008	-36.069794
59.216309	-36.978893
64.599609	-36.905624
69.982910	-37.162933
75.366211	-38.025246
80.749512	-37.746342
86.132812	-38.171131
91.516113	-38.318089
96.899414	-39.397423
102.282715	-40.365280
107.666016	-39.214493
113.049316	-39.452553
118.432617	-40.079853
123.815918	-39.901600
129.199219	-40.758186
134.582520	-40.787483
139.965820	-41.047428
145.349121	-41.870834
150.732422	-41.876156
156.115723	-42.390388
161.499023	-42.833565
166.882324	-43.074368
172.265625	-43.997139
177.648926	-43.364857
183.032227	-44.129173
188.415527	-44.577168
193.798828	-44.396843
199.182129	-45.340633
204.565430	-44.891766
209.948730	-44.442490
215.332031	-45.339500
220.715332	-45.071178
226.098633	-46.808002
231.481934	-46.454590
236.865234	-46.236988
242.248535	-46.380226
247.631836	-44.647579
253.015137	-44.576649
258.398438	-44.750916
263.781738	-44.378345
269.165039	-45.041004
274.548340	-44.946270
279.931641	-45.967075
285.314941	-46.910866
290.698242	-46.652931
296.081543	-47.434361
301.464844	-47.429413
306.848145	-47.597717
312.231445	-49.343815
317.614746	-48.662258
322.998047	-50.575829
328.381348	-51.878548
333.764648	-51.550564
339.147949	-51.599483
344.531250	-48.817524
349.914551	-47.866413
355.297852	-49.780876
360.681152	-50.818748
366.064453	-51.795380
371.447754	-53.331116
376.831055	-54.333698
382.214355	-51.362808
387.597656	-49.869663
392.980957	-53.660156
398.364258	-56.972473
403.747559	-61.326279
409.130859	-63.360790
414.514160	-62.313820
419.897461	-62.595402
425.280762	-66.672966
430.664062	-61.136253
436.047363	-58.038723
441.430664	-60.832832
446.813965	-53.933762
452.197266	-54.271889
457.580566	-52.759808
462.963867	-50.401226
468.347168	-49.575714
473.730469	-48.769138
479.113770	-51.048527
484.497070	-52.575130
489.880371	-49.712006
495.263672	-47.717335
500.646973	-47.112339
506.030273	-45.566788
511.413574	-46.786594
516.796875	-47.589237
522.180176	-47.905300
527.563477	-47.157391
532.946777	-46.435257
538.330078	-46.860992
543.713379	-47.470543
549.096680	-51.358006
554.479980	-55.874363
559.863281	-58.880028
565.246582	-56.223621
570.629883	-48.506046
576.013184	-46.717651
581.396484	-44.448971
586.779785	-44.058323
592.163086	-45.103951
597.546387	-46.573044
602.929688	-47.435356
608.312988	-49.113701
613.696289	-45.310390
619.079590	-44.722004
624.462891	-44.588074
629.846191	-46.170376
635.229492	-48.982346
640.612793	-49.545277
645.996094	-48.500481
651.379395	-45.616745
656.762695	-43.702583
662.145996	-47.943893
667.529297	-45.043766
672.912598	-45.761990
678.295898	-45.351444
683.679199	-45.292290
689.062500	-46.559841
694.445801	-45.134918
699.829102	-45.221573
705.212402	-44.064686
710.595703	-43.570465
715.979004	-43.511345
721.362305	-42.607471
726.745605	-42.723900
732.128906	-42.041752
737.512207	-41.954731
742.895508	-42.210045
748.278809	-41.797680
753.662109	-42.437405
759.045410	-43.275894
764.428711	-43.075829
769.812012	-43.361252
775.195312	-43.634380
780.578613	-45.112007
785.961914	-45.671734
791.345215	-45.983425
796.728516	-47.091793
802.111816	-48.505779
807.495117	-48.693119
812.878418	-48.787167
818.261719	-50.049412
823.645020	-50.948944
829.028320	-50.676979
834.411621	-50.602211
839.794922	-51.642269
845.178223	-50.864403
850.561523	-53.925758
855.944824	-56.243362
861.328125	-54.519482
866.711426	-54.037464
872.094727	-54.426678
877.478027	-56.646076
882.861328	-53.975941
888.244629	-54.581944
893.627930	-54.813751
899.011230	-56.032925
904.394531	-55.179321
909.777832	-53.648132
915.161133	-53.337391
920.544434	-52.851059
925.927734	-52.972504
931.311035	-53.985592
936.694336	-54.075985
942.077637	-54.618443
947.460938	-54.328060
952.844238	-52.099899
958.227539	-52.842659
963.610840	-52.750717
968.994141	-53.149075
974.377441	-53.485546
979.760742	-52.561234
985.144043	-51.369690
990.527344	-51.378162
995.910645	-51.637878
1001.293945	-52.486126
1006.677246	-51.905373
1012.060547	-53.165092
1017.443848	-54.200352
1022.827148	-54.515903
1028.210449	-55.163269
1033.593750	-55.002220
1038.977051	-59.271835
1044.360352	-72.418198
1049.743652	-64.298172
1055.126953	-55.823765
1060.510254	-52.907188
1065.893555	-53.713711
1071.276855	-54.025284
1076.660156	-51.653366
1082.043457	-52.245075
1087.426758	-52.260925
1092.810059	-55.791740
1098.193359	-60.278893
1103.576660	-63.947742
1108.959961	-57.734188
1114.343262	-52.870289
1119.726562	-52.800972
1125.109863	-51.834526
1130.493164	-52.637035
1135.876465	-53.459972
1141.259766	-54.046867
1146.643066	-53.342579
1152.026367	-53.696987
1157.409668	-55.674015
1162.792969	-57.597458
1168.176270	-56.292572
1173.559570	-55.527363
1178.942871	-54.737019
1184.326172	-55.128094
1189.709473	-53.971916
1195.092773	-53.545628
1200.476074	-53.027863
1205.859375	-52.565079
1211.242676	-52.186642
1216.625977	-52.265400
