Frequency (Hz)	Level (dB)
5.383301	-25.607092
10.766602	-23.586760
16.149902	-24.871742
21.533203	-28.254555
26.916504	-23.637808
32.299805	-19.723001
37.683105	-18.536940
43.066406	-19.436533
48.449707	-22.790535
53.833008	-26.968052
59.216309	-24.052792
64.599609	-21.444193
69.982910	-21.056284
75.366211	-22.275640
80.749512	-25.895504
86.132812	-32.198231
91.516113	-31.430683
96.899414	-26.713814
102.282715	-24.178545
107.666016	-23.570328
113.049316	-24.781528
118.432617	-27.777391
123.815918	-33.965157
129.199219	-34.364662
134.582520	-29.445200
139.965820	-28.370472
145.349121	-28.796732
150.732422	-31.141243
156.115723	-35.692200
161.499023	-36.755062
166.882324	-36.158112
172.265625	-36.046852
177.648926	-37.019722
183.032227	-42.123718
188.415527	-47.640583
193.798828	-41.277416
199.182129	-36.710182
204.565430	-33.152706
209.948730	-31.146664
215.332031	-31.748192
220.715332	-33.800243
226.098633	-36.084709
231.481934	-36.170891
236.865234	-33.221668
242.248535	-30.829710
247.631836	-29.752563
253.015137	-29.288620
258.398438	-29.712149
263.781738	-32.414219
269.165039	-37.941757
274.548340	-39.078949
279.931641	-35.112495
285.314941	-32.445900
290.698242	-31.222073
296.081543	-31.352226
301.464844	-31.613708
306.848145	-32.536167
312.231445	-35.299473
317.614746	-39.023216
322.998047	-44.181957
328.381348	-41.170952
333.764648	-35.243320
339.147949	-32.408680
344.531250	-31.162174
349.914551	-31.320173
355.297852	-33.456837
360.681152	-37.961563
366.064453	-41.243202
371.447754	-35.910011
376.831055	-32.126141
382.214355	-30.502964
387.597656	-30.804619
392.980957	-33.474461
398.364258	-39.186615
403.747559	-40.324875
409.130859	-34.668488
414.514160	-32.761665
419.897461	-33.671898
425.280762	-36.079838
430.664062	-37.163055
436.047363	-34.905945
441.430664	-32.074589
446.813965	-31.280117
452.197266	-31.490681
457.580566	-32.869850
462.963867	-34.368359
468.347168	-34.519062
473.730469	-34.069500
479.113770	-33.741653
484.497070	-33.866268
489.880371	-33.951931
495.263672	-34.141037
500.646973	-35.631069
506.030273	-37.416759
511.413574	-37.191433
516.796875	-35.992809
522.180176	-34.183163
527.563477	-33.402012
532.946777	-34.022926
538.330078	-35.628849
543.713379	-39.116035
549.096680	-38.427349
554.479980	-35.952408
559.863281	-35.560074
565.246582	-36.704918
570.629883	-38.902889
576.013184	-41.388783
581.396484	-44.183945
586.779785	-39.985439
592.163086	-36.940739
597.546387	-34.753784
602.929688	-34.494293
608.312988	-35.931488
613.696289	-38.173183
619.079590	-37.735546
624.462891	-39.671341
629.846191	-42.803226
635.229492	-41.275169
640.612793	-40.925564
645.996094	-41.274899
651.379395	-42.934124
656.762695	-44.033863
662.145996	-45.081814
667.529297	-44.684185
672.912598	-43.780281
678.295898	-42.721939
683.679199	-40.071732
689.062500	-38.993713
694.445801	-37.950127
699.829102	-37.875423
705.212402	-40.280075
710.595703	-43.899426
715.979004	-48.122906
721.362305	-44.315701
726.745605	-39.910290
732.128906	-39.044830
737.512207	-38.927254
742.895508	-36.542458
748.278809	-33.152752
753.662109	-31.971085
759.045410	-33.227470
764.428711	-36.081547
769.812012	-38.981491
775.195312	-39.073196
780.578613	-38.002586
785.961914	-37.380882
791.345215	-38.550228
796.728516	-39.622097
802.111816	-38.688908
807.495117	-38.233410
812.878418	-39.473656
818.261719	-41.858704
823.645020	-39.453884
829.028320	-36.536026
834.411621	-35.054379
839.794922	-35.767334
845.178223	-37.362473
850.561523	-39.586208
855.944824	-42.641495
861.328125	-47.696938
866.711426	-47.367561
872.094727	-41.564537
877.478027	-38.453739
882.861328	-38.731922
888.244629	-40.628078
893.627930	-44.255383
899.011230	-51.170761
904.394531	-43.264919
909.777832	-38.249863
915.161133	-36.620903
920.544434	-36.464825
925.927734	-37.035736
931.311035	-37.305916
936.694336	-37.572090
942.077637	-37.007866
947.460938	-35.905300
952.844238	-34.091740
958.227539	-32.620499
