Frequency (Hz)	Level (dB)
5.383301	-29.385345
10.766602	-28.880993
16.149902	-30.043139
21.533203	-29.460819
26.916504	-28.260141
32.299805	-26.630560
37.683105	-25.466726
43.066406	-26.554153
48.449707	-28.869240
53.833008	-33.021023
59.216309	-39.277275
64.599609	-36.017529
69.982910	-32.428154
75.366211	-32.046444
80.749512	-33.477680
86.132812	-35.934490
91.516113	-37.853359
96.899414	-41.319141
102.282715	-44.733261
107.666016	-39.468849
113.049316	-35.080189
118.432617	-34.275642
123.815918	-35.937508
129.199219	-40.236290
134.582520	-49.371819
139.965820	-46.631229
145.349121	-39.799461
150.732422	-37.280819
156.115723	-36.625381
161.499023	-35.170013
166.882324	-33.508282
172.265625	-33.095554
177.648926	-33.539963
183.032227	-32.976963
188.415527	-32.086208
193.798828	-31.996021
199.182129	-31.745258
204.565430	-29.902033
209.948730	-27.738432
215.332031	-28.051582
220.715332	-33.355347
226.098633	-43.844166
231.481934	-48.872181
236.865234	-51.564354
242.248535	-44.866150
247.631836	-39.669350
253.015137	-35.639366
258.398438	-33.672604
263.781738	-33.919121
269.165039	-36.604603
274.548340	-40.454006
279.931641	-38.217365
285.314941	-38.964653
290.698242	-35.729202
296.081543	-32.983032
301.464844	-31.584591
306.848145	-28.976509
312.231445	-26.419476
317.614746	-27.406916
322.998047	-35.088936
328.381348	-34.304417
333.764648	-33.463928
339.147949	-34.906239
344.531250	-38.030586
349.914551	-41.125767
355.297852	-45.738449
360.681152	-38.209465
366.064453	-32.449028
371.447754	-29.791595
376.831055	-29.514591
382.214355	-30.002653
387.597656	-30.231903
392.980957	-30.720888
398.364258	-31.688951
403.747559	-33.278522
409.130859	-34.468513
414.514160	-34.245735
419.897461	-31.851784
425.280762	-30.185511
430.664062	-33.687332
436.047363	-35.429787
441.430664	-32.276157
446.813965	-34.550880
452.197266	-39.655022
457.580566	-37.950287
462.963867	-32.095131
468.347168	-28.848915
473.730469	-28.515947
479.113770	-32.985912
484.497070	-34.891148
489.880371	-32.291241
495.263672	-31.313389
500.646973	-32.281128
506.030273	-36.753448
511.413574	-33.947784
516.796875	-32.957268
522.180176	-31.882282
527.563477	-25.068735
532.946777	-22.269751
538.330078	-22.922903
543.713379	-22.238173
549.096680	-21.209091
554.479980	-20.965132
559.863281	-18.345737
565.246582	-13.900726
570.629883	-11.364697
576.013184	-11.545588
581.396484	-14.249377
586.779785	-19.602732
592.163086	-28.556206
597.546387	-25.609762
602.929688	-27.122698
608.312988	-33.698341
613.696289	-25.923346
619.079590	-20.443312
624.462891	-19.099724
629.846191	-20.495092
635.229492	-23.870667
640.612793	-26.669540
645.996094	-30.413486
651.379395	-33.152096
656.762695	-25.812119
662.145996	-23.251560
667.529297	-25.054775
672.912598	-29.804739
678.295898	-31.896011
683.679199	-31.457253
689.062500	-30.702980
694.445801	-30.733438
699.829102	-30.377626
705.212402	-28.047041
710.595703	-25.430046
715.979004	-24.641329
721.362305	-25.861847
726.745605	-31.935457
732.128906	-33.585838
737.512207	-31.336611
742.895508	-34.904694
748.278809	-48.303894
753.662109	-37.681271
759.045410	-39.282360
764.428711	-44.324669
769.812012	-35.957867
775.195312	-33.891460
780.578613	-32.011410
785.961914	-32.171505
791.345215	-38.641563
796.728516	-39.199852
802.111816	-37.144184
807.495117	-41.296013
812.878418	-35.405159
818.261719	-33.272148
823.645020	-35.153938
829.028320	-39.757782
834.411621	-45.171558
839.794922	-46.994659
845.178223	-46.074368
850.561523	-42.512531
855.944824	-39.872910
861.328125	-39.255947
866.711426	-40.902214
872.094727	-47.672268
877.478027	-49.415802
882.861328	-45.956547
888.244629	-43.517498
893.627930	-45.245781
899.011230	-45.402412
904.394531	-42.697876
909.777832	-41.869610
915.161133	-42.997482
920.544434	-47.217064
925.927734	-53.444912
931.311035	-55.272621
936.694336	-51.050846
942.077637	-51.252399
