Frequency (Hz)	Level (dB)
5.383301	-52.390499
10.766602	-49.481976
16.149902	-48.839294
21.533203	-37.267014
26.916504	-33.651226
32.299805	-41.937225
37.683105	-46.805653
43.066406	-46.346554
48.449707	-41.609783
53.833008	-35.832680
59.216309	-35.276241
64.599609	-37.281460
69.982910	-38.497597
75.366211	-41.181335
80.749512	-45.781212
86.132812	-49.610828
91.516113	-44.489510
96.899414	-41.900372
102.282715	-42.597191
107.666016	-45.932087
113.049316	-44.342323
118.432617	-44.118427
123.815918	-47.703335
129.199219	-47.465248
134.582520	-51.584072
139.965820	-59.381916
145.349121	-49.596272
150.732422	-43.087303
156.115723	-39.017635
161.499023	-36.920929
166.882324	-36.105114
172.265625	-36.528492
177.648926	-39.337669
183.032227	-43.061817
188.415527	-45.478561
193.798828	-43.031136
199.182129	-43.846241
204.565430	-42.378868
209.948730	-41.429195
215.332031	-38.600327
220.715332	-35.726250
226.098633	-33.346462
231.481934	-33.138584
236.865234	-34.066959
242.248535	-35.199097
247.631836	-38.633442
253.015137	-40.680847
258.398438	-39.872936
263.781738	-36.999252
269.165039	-33.851753
274.548340	-31.081354
279.931641	-31.771982
285.314941	-35.435863
290.698242	-36.783478
296.081543	-38.378719
301.464844	-38.593872
306.848145	-39.362152
312.231445	-39.173344
317.614746	-38.971378
322.998047	-39.612457
328.381348	-41.319004
333.764648	-41.536991
339.147949	-37.875759
344.531250	-36.288837
349.914551	-38.218418
355.297852	-35.350155
360.681152	-31.279404
366.064453	-31.428978
371.447754	-37.454453
376.831055	-52.531399
382.214355	-46.460400
387.597656	-41.426804
392.980957	-37.507309
398.364258	-34.968361
403.747559	-35.642841
409.130859	-38.093479
414.514160	-39.803905
419.897461	-42.027943
425.280762	-46.431305
430.664062	-42.861652
436.047363	-36.632454
441.430664	-32.975060
446.813965	-32.144653
452.197266	-35.096397
457.580566	-37.755241
462.963867	-35.458553
468.347168	-31.540550
473.730469	-29.662382
479.113770	-31.864361
484.497070	-37.952229
489.880371	-41.968842
495.263672	-36.239899
500.646973	-31.941490
506.030273	-29.653934
511.413574	-27.709875
516.796875	-26.585148
522.180176	-25.429132
527.563477	-23.699099
532.946777	-23.222130
538.330078	-27.331387
543.713379	-35.740574
549.096680	-42.641850
554.479980	-43.227528
559.863281	-41.413158
565.246582	-35.625443
570.629883	-33.526878
576.013184	-33.140141
581.396484	-35.006027
586.779785	-38.759472
592.163086	-43.058846
597.546387	-41.423183
602.929688	-38.115299
608.312988	-35.186131
613.696289	-33.891491
619.079590	-32.362373
624.462891	-33.366196
629.846191	-32.023769
635.229492	-30.465048
640.612793	-30.818476
645.996094	-31.784212
651.379395	-34.055180
656.762695	-35.428074
662.145996	-33.492180
667.529297	-31.117994
672.912598	-29.655056
678.295898	-30.201176
683.679199	-30.757158
689.062500	-31.149139
694.445801	-31.271072
699.829102	-31.749382
705.212402	-32.490173
710.595703	-31.575722
715.979004	-30.264372
721.362305	-30.311853
726.745605	-30.370630
732.128906	-30.289186
737.512207	-31.125418
742.895508	-32.418098
748.278809	-36.796539
753.662109	-45.197124
759.045410	-42.749401
764.428711	-39.215988
769.812012	-41.396709
775.195312	-44.902817
