Frequency (Hz)	Level (dB)
5.383301	-27.651720
10.766602	-23.536583
16.149902	-21.504362
21.533203	-20.704697
26.916504	-20.752670
32.299805	-21.606928
37.683105	-23.072824
43.066406	-25.111784
48.449707	-28.310398
53.833008	-31.681734
59.216309	-30.988388
64.599609	-27.711027
69.982910	-25.206238
75.366211	-23.408722
80.749512	-22.298679
86.132812	-21.704792
91.516113	-21.475275
96.899414	-21.641430
102.282715	-22.256819
107.666016	-23.291292
113.049316	-25.063755
118.432617	-27.830025
123.815918	-32.065990
129.199219	-36.558929
134.582520	-32.861298
139.965820	-29.276550
145.349121	-27.062744
150.732422	-25.579748
156.115723	-25.162081
161.499023	-25.403929
166.882324	-25.977133
172.265625	-27.025318
177.648926	-28.780428
183.032227	-30.969824
188.415527	-33.279556
193.798828	-35.456921
199.182129	-35.442249
204.565430	-34.049988
209.948730	-33.797649
215.332031	-34.398521
220.715332	-34.060970
226.098633	-34.163578
231.481934	-34.391548
236.865234	-34.804039
242.248535	-36.220467
247.631836	-38.118603
253.015137	-38.655590
258.398438	-38.726059
263.781738	-37.511524
269.165039	-35.261257
274.548340	-32.098335
279.931641	-29.851068
285.314941	-30.344204
290.698242	-30.635904
296.081543	-31.155146
301.464844	-31.552464
306.848145	-31.645605
312.231445	-34.778843
317.614746	-38.563408
322.998047	-42.673634
328.381348	-49.174286
333.764648	-39.685493
339.147949	-36.543102
344.531250	-34.155548
349.914551	-30.329670
355.297852	-27.154848
360.681152	-26.694830
366.064453	-27.722244
371.447754	-29.264393
376.831055	-31.266153
382.214355	-30.750870
387.597656	-32.265137
392.980957	-32.175266
398.364258	-29.682997
403.747559	-29.956570
409.130859	-34.730499
414.514160	-47.797867
419.897461	-35.434044
425.280762	-28.474123
430.664062	-25.360336
436.047363	-24.461617
441.430664	-23.143345
446.813965	-22.097441
452.197266	-22.306955
457.580566	-21.967924
462.963867	-22.303114
468.347168	-25.101881
473.730469	-27.615698
479.113770	-30.299807
484.497070	-35.041466
489.880371	-33.199692
495.263672	-29.433680
500.646973	-30.189034
506.030273	-34.056778
511.413574	-31.055428
516.796875	-27.502628
522.180176	-25.929455
527.563477	-23.147783
532.946777	-22.887901
538.330078	-24.072384
543.713379	-24.757929
549.096680	-25.626963
554.479980	-27.625992
559.863281	-28.319139
565.246582	-28.420773
570.629883	-28.150665
576.013184	-28.059746
581.396484	-26.664639
586.779785	-25.502481
592.163086	-25.120388
597.546387	-26.437054
602.929688	-26.642723
608.312988	-29.637310
613.696289	-32.058262
619.079590	-39.036152
624.462891	-35.307140
629.846191	-27.821407
635.229492	-24.125431
640.612793	-21.981714
645.996094	-21.102104
651.379395	-21.581835
656.762695	-22.835270
662.145996	-24.634712
667.529297	-27.332663
672.912598	-30.690424
678.295898	-32.937534
683.679199	-34.131130
689.062500	-33.555908
694.445801	-32.156822
699.829102	-31.706705
705.212402	-32.477917
710.595703	-34.243660
715.979004	-35.167709
721.362305	-33.972137
726.745605	-32.789810
732.128906	-31.253790
737.512207	-30.541588
742.895508	-31.617531
748.278809	-38.267914
753.662109	-47.203674
759.045410	-42.414574
764.428711	-36.963566
769.812012	-35.628483
775.195312	-36.126488
780.578613	-35.919731
785.961914	-34.172569
791.345215	-32.824654
796.728516	-32.070210
802.111816	-32.433842
807.495117	-33.081196
812.878418	-32.864548
818.261719	-33.148544
823.645020	-33.874134
829.028320	-35.535080
834.411621	-40.898941
839.794922	-47.049576
845.178223	-51.573078
