Frequency (Hz)	Level (dB)
5.383301	-29.078339
10.766602	-26.861170
16.149902	-25.194109
21.533203	-24.409653
26.916504	-24.330851
32.299805	-24.481823
37.683105	-24.764851
43.066406	-25.712296
48.449707	-26.450375
53.833008	-27.210133
59.216309	-28.095921
64.599609	-29.075190
69.982910	-30.119513
75.366211	-30.550802
80.749512	-31.002316
86.132812	-32.060421
91.516113	-32.909054
96.899414	-33.420914
102.282715	-34.348553
107.666016	-34.733101
113.049316	-34.714401
118.432617	-35.203651
123.815918	-35.793682
129.199219	-36.130566
134.582520	-36.296787
139.965820	-36.110310
145.349121	-35.369007
150.732422	-33.489262
156.115723	-30.504278
161.499023	-25.354931
166.882324	-22.060457
172.265625	-26.764145
177.648926	-30.418371
183.032227	-30.276567
188.415527	-30.604784
193.798828	-30.327267
199.182129	-29.922119
204.565430	-30.613239
209.948730	-30.568653
215.332031	-29.104939
220.715332	-23.399548
226.098633	-15.707896
231.481934	-11.977639
236.865234	-15.338100
242.248535	-19.410273
247.631836	-21.879219
253.015137	-24.323032
258.398438	-26.641251
263.781738	-27.152233
269.165039	-29.691360
274.548340	-32.290936
279.931641	-30.178486
285.314941	-26.977232
290.698242	-25.018270
296.081543	-24.496536
301.464844	-25.538845
306.848145	-29.386415
312.231445	-31.451153
317.614746	-29.618177
322.998047	-27.819992
328.381348	-28.391958
333.764648	-30.362413
339.147949	-29.675146
344.531250	-28.985699
349.914551	-28.549717
355.297852	-28.287359
360.681152	-27.983599
366.064453	-27.666395
371.447754	-27.541388
376.831055	-28.759281
382.214355	-30.138405
387.597656	-30.523907
392.980957	-31.183765
398.364258	-32.489212
403.747559	-34.625809
409.130859	-38.557285
414.514160	-36.798950
419.897461	-35.082684
425.280762	-34.186592
430.664062	-33.442616
436.047363	-32.849403
441.430664	-31.733280
446.813965	-29.526924
452.197266	-26.177238
457.580566	-23.114117
462.963867	-19.816257
468.347168	-19.195311
473.730469	-19.692522
479.113770	-21.890615
484.497070	-23.728428
489.880371	-23.831236
495.263672	-28.081032
500.646973	-28.041142
506.030273	-27.309076
511.413574	-25.553816
516.796875	-26.327238
522.180176	-27.014801
527.563477	-27.401184
532.946777	-27.344561
538.330078	-27.360121
543.713379	-28.395918
549.096680	-28.954748
554.479980	-30.229002
559.863281	-28.718710
565.246582	-28.735220
570.629883	-27.038927
576.013184	-25.474028
581.396484	-25.499121
586.779785	-27.920380
592.163086	-28.586330
597.546387	-28.018959
602.929688	-27.796879
608.312988	-27.612144
613.696289	-28.169071
