Frequency (Hz)	Level (dB)
5.383301	-50.310020
10.766602	-50.072880
16.149902	-49.348679
21.533203	-47.936787
26.916504	-46.985287
32.299805	-47.224903
37.683105	-46.024124
43.066406	-45.362427
48.449707	-42.934731
53.833008	-44.177753
59.216309	-45.163597
64.599609	-46.305901
69.982910	-46.525791
75.366211	-46.634541
80.749512	-46.496174
86.132812	-46.925716
91.516113	-47.425758
96.899414	-46.162403
102.282715	-45.225025
107.666016	-45.559273
113.049316	-46.992123
118.432617	-45.673996
123.815918	-44.794350
129.199219	-45.547783
134.582520	-45.292225
139.965820	-46.151409
145.349121	-46.438263
150.732422	-46.171131
156.115723	-47.002613
161.499023	-51.510365
166.882324	-48.885475
172.265625	-45.695423
177.648926	-46.810509
183.032227	-46.423038
188.415527	-47.406315
193.798828	-47.621902
199.182129	-44.595284
204.565430	-43.681450
209.948730	-46.255032
215.332031	-46.143440
220.715332	-46.760403
226.098633	-44.870766
231.481934	-40.980080
236.865234	-40.353470
242.248535	-42.493179
247.631836	-42.979870
253.015137	-40.495197
258.398438	-41.277576
263.781738	-41.071857
269.165039	-36.734211
274.548340	-35.725620
279.931641	-39.293629
285.314941	-37.965897
290.698242	-34.509327
296.081543	-33.237980
301.464844	-32.139076
306.848145	-29.828508
312.231445	-28.873791
317.614746	-28.474913
322.998047	-27.501865
328.381348	-27.587307
333.764648	-25.038359
339.147949	-23.881233
344.531250	-24.580257
349.914551	-26.342888
355.297852	-29.339731
360.681152	-31.436733
366.064453	-31.304903
371.447754	-30.573576
376.831055	-30.883047
382.214355	-32.626324
387.597656	-32.762386
392.980957	-33.465996
398.364258	-33.898754
403.747559	-33.230633
409.130859	-32.321568
414.514160	-32.093323
419.897461	-30.958210
425.280762	-29.646578
430.664062	-29.603483
436.047363	-28.904737
441.430664	-28.633877
446.813965	-28.310421
452.197266	-27.388744
457.580566	-26.185484
462.963867	-25.888329
468.347168	-25.032551
473.730469	-24.055941
479.113770	-23.565033
484.497070	-23.518505
489.880371	-22.203884
495.263672	-22.819363
500.646973	-23.490290
506.030273	-23.372248
511.413574	-25.252949
516.796875	-26.700317
522.180176	-27.642178
527.563477	-30.172962
532.946777	-29.992910
538.330078	-33.501492
543.713379	-37.175282
549.096680	-37.974316
554.479980	-38.272305
559.863281	-38.573544
565.246582	-36.509682
570.629883	-36.157135
576.013184	-34.535080
581.396484	-34.682289
586.779785	-36.591976
592.163086	-37.656128
597.546387	-39.835522
602.929688	-41.645809
608.312988	-37.080975
613.696289	-36.576035
619.079590	-38.268772
624.462891	-36.613438
629.846191	-36.105728
635.229492	-36.881378
640.612793	-35.437252
645.996094	-30.501537
651.379395	-30.089437
656.762695	-27.665977
662.145996	-22.866350
667.529297	-22.767494
672.912598	-23.210434
678.295898	-22.102247
683.679199	-24.228245
689.062500	-28.611399
694.445801	-28.406862
699.829102	-29.477751
705.212402	-35.356705
710.595703	-38.506443
715.979004	-38.517567
721.362305	-39.814491
726.745605	-42.513985
732.128906	-45.922474
737.512207	-45.584721
742.895508	-43.213436
748.278809	-44.301960
753.662109	-48.751156
759.045410	-49.295841
764.428711	-45.874065
769.812012	-43.105160
775.195312	-43.939991
780.578613	-48.705387
785.961914	-51.650703
791.345215	-45.228428
796.728516	-44.491829
802.111816	-45.457771
807.495117	-44.447674
812.878418	-41.815216
818.261719	-40.103359
823.645020	-37.259586
829.028320	-36.006535
834.411621	-37.899979
839.794922	-37.716473
845.178223	-38.844498
850.561523	-41.252781
855.944824	-42.003006
861.328125	-45.499210
866.711426	-46.184868
872.094727	-44.621071
877.478027	-45.762852
882.861328	-50.224350
888.244629	-56.833183
893.627930	-52.143970
899.011230	-46.692501
904.394531	-47.915142
909.777832	-48.351723
915.161133	-51.099464
920.544434	-52.209839
925.927734	-49.182335
931.311035	-47.864319
936.694336	-44.540077
942.077637	-41.293129
947.460938	-40.407318
952.844238	-37.719452
958.227539	-36.124805
963.610840	-39.290169
968.994141	-40.008835
974.377441	-41.451504
979.760742	-45.614754
985.144043	-47.096046
990.527344	-48.360130
995.910645	-49.906628
1001.293945	-52.972710
1006.677246	-52.898064
1012.060547	-52.752895
1017.443848	-57.176960
1022.827148	-58.382069
1028.210449	-49.490566
1033.593750	-47.782890
1038.977051	-44.799656
1044.360352	-42.571751
1049.743652	-39.998650
1055.126953	-37.670910
1060.510254	-37.594761
1065.893555	-36.551586
1071.276855	-39.789291
1076.660156	-41.230858
1082.043457	-38.220131
1087.426758	-38.466091
1092.810059	-36.712757
1098.193359	-38.499058
1103.576660	-40.802601
1108.959961	-41.488350
1114.343262	-40.141148
1119.726562	-39.778667
1125.109863	-43.260723
1130.493164	-44.732876
1135.876465	-47.267021
1141.259766	-49.387535
1146.643066	-50.146194
1152.026367	-50.504250
1157.409668	-47.787674
1162.792969	-49.157703
1168.176270	-47.292427
1173.559570	-47.134518
1178.942871	-48.579418
1184.326172	-47.684490
1189.709473	-48.783886
1195.092773	-49.723820
1200.476074	-47.473740
1205.859375	-45.984154
1211.242676	-46.076965
1216.625977	-45.896225
1222.009277	-44.728054
1227.392578	-44.720158
1232.775879	-42.543591
1238.159180	-42.715649
1243.542480	-44.867950
1248.925781	-45.003403
1254.309082	-44.568039
1259.692383	-43.469601
1265.075684	-42.987400
1270.458984	-44.226089
1275.842285	-44.817005
1281.225586	-43.488110
1286.608887	-43.807575
1291.992188	-43.651608
1297.375488	-43.819321
1302.758789	-42.952534
1308.142090	-41.283585
1313.525391	-41.358658
1318.908691	-42.294621
1324.291992	-41.747730
1329.675293	-43.012676
1335.058594	-42.400650
1340.441895	-41.238888
1345.825195	-42.502029
1351.208496	-40.846157
1356.591797	-41.034187
1361.975098	-42.365536
1367.358398	-41.368580
1372.741699	-40.528248
1378.125000	-41.435707
1383.508301	-39.512352
1388.891602	-39.483356
1394.274902	-41.834484
1399.658203	-44.072815
1405.041504	-46.798683
1410.424805	-48.647110
1415.808105	-46.027683
1421.191406	-46.729195
1426.574707	-48.471584
1431.958008	-45.988903
1437.341309	-46.092682
1442.724609	-43.823593
1448.107910	-42.943600
1453.491211	-45.579998
1458.874512	-44.830952
1464.257812	-46.261795
1469.641113	-47.320400
1475.024414	-44.663765
1480.407715	-40.468731
1485.791016	-42.383732
1491.174316	-45.567501
1496.557617	-44.305031
1501.940918	-46.757832
1507.324219	-46.901630
1512.707520	-46.182323
1518.090820	-47.683189
1523.474121	-46.072277
1528.857422	-45.948666
1534.240723	-47.742222
1539.624023	-47.573345
1545.007324	-47.400848
1550.390625	-47.349461
1555.773926	-45.952297
1561.157227	-45.390381
1566.540527	-47.030788
1571.923828	-48.264294
1577.307129	-47.552429
1582.690430	-48.574760
1588.073730	-47.658840
1593.457031	-47.080227
1598.840332	-49.781765
1604.223633	-50.335365
1609.606934	-49.240757
1614.990234	-52.731876
1620.373535	-51.941574
1625.756836	-49.535717
1631.140137	-51.749741
1636.523438	-53.431774
1641.906738	-53.919910
1647.290039	-55.678623
1652.673340	-52.009766
1658.056641	-49.807491
1663.439941	-51.575222
1668.823242	-52.437641
1674.206543	-49.230957
1679.589844	-49.107288
1684.973145	-51.347862
1690.356445	-50.413288
1695.739746	-49.036331
1701.123047	-50.148865
1706.506348	-46.997250
1711.889648	-44.590530
1717.272949	-46.917381
1722.656250	-48.761463
1728.039551	-47.294323
1733.422852	-48.035461
1738.806152	-49.267288
1744.189453	-49.709824
1749.572754	-50.566586
1754.956055	-51.641567
1760.339355	-53.399239
1765.722656	-52.787567
1771.105957	-52.975628
1776.489258	-52.468655
1781.872559	-50.954292
1787.255859	-52.587803
1792.639160	-53.890892
1798.022461	-52.949173
1803.405762	-52.040512
1808.789062	-51.336533
1814.172363	-49.450703
1819.555664	-46.463718
1824.938965	-45.637608
1830.322266	-46.008427
1835.705566	-45.629642
1841.088867	-44.928944
1846.472168	-45.555763
1851.855469	-44.913040
1857.238770	-45.371799
1862.622070	-46.953133
1868.005371	-46.645782
1873.388672	-47.792484
1878.771973	-49.831818
1884.155273	-50.373550
1889.538574	-52.387093
1894.921875	-52.965759
1900.305176	-52.993900
1905.688477	-53.790241
1911.071777	-54.217236
1916.455078	-54.844616
1921.838379	-55.881626
1927.221680	-56.065887
1932.604980	-60.602478
1937.988281	-61.281731
1943.371582	-60.354515
1948.754883	-56.960491
1954.138184	-53.580223
1959.521484	-54.510189
1964.904785	-52.570427
1970.288086	-51.934021
1975.671387	-53.535374
1981.054688	-53.569328
1986.437988	-51.718803
1991.821289	-51.682636
1997.204590	-53.019596
2002.587891	-55.462658
2007.971191	-56.519932
2013.354492	-55.355431
2018.737793	-55.185326
2024.121094	-53.299057
2029.504395	-55.102726
2034.887695	-57.471668
2040.270996	-56.431103
2045.654297	-56.925331
2051.037598	-57.928909
2056.420898	-57.171108
2061.804199	-60.090385
2067.187500	-58.880589
2072.570801	-57.570423
